Monsoon Semester 2016-2017Roll NO :B160345CSSemester :I||||||
Sl.NO|Course Code|Course   Name|Credits|Grade|Attendance|Result
1|ZZ1003|BASIC ELECTRICAL SCIENCES|3|E|H|PASS
2|ZZ1091|WORKSHOP I|2|A|H|PASS
3|PH1001|PHYSICS|3|D|H|PASS
4|PH1091|PHYSICS LAB|1|A|H|PASS
5|MA1001|MATHEMATICS I|3|D|H|PASS
6|CS1001|FOUNDATIONS OF COMPUTING|2|D|N|PASS
7|ZZ1002|ENGINEERING GRAPHICS|3|D|H|PASS
SGPA6.35||||||
Winter Semester 2016-2017Roll NO :B160345CSSemester :II||||||
Sl.NO|Course Code|Course   Name|Credits|Grade|Attendance|Result
8|ZZ1093|PHYSICAL EDUCATION|1|P|N|PASS
9|ZZ1092|WORKSHOP II|2|B|H|PASS
10|CY1094|CHEMISTRY LAB|1|S|H|PASS
11|ZZ1004|COMPUTER PROGRAMMING|2|A|N|PASS
12|CY1001|CHEMISTRY|3|A|H|PASS
13|MA1002|MATHEMATICS II|3|A|H|PASS
14|ZZ1001|ENGINEERING MECHANICS|3|C|H|PASS
15|MS1001|PROFESSIONAL COMMUNICATION|3|D|H|PASS
SGPA8.06||||||
Monsoon Semester 2017-2018Roll NO :B160345CSSemester :III||||||
Sl.NO|Course Code|Course   Name|Credits|Grade|Attendance|Result
16|CS2091|LOGIC DESIGN LABORATORY|3|S|N|PASS
17|ZZ1095|NATIONAL SERVICE SCHEME|1|P|N|PASS
18|CS2092|PROGRAMMING LABORATORY|3|C|H|PASS
19|CS2002|FOUNDATIONS OF PROGRAMMING|4|C|H|PASS
20|CS2001|LOGIC DESIGN|4|B|H|PASS
21|EC2014|SIGNALS AND SYSTEMS|3|C|H|PASS
||||||
